Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Policy/GAIL Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Policy/GAIL Reward,Is Training
5000,1.4189386,125.95,0.05732186,0.074666895,-0.0941202271825228,-0.0941202271825228,0.0,1.0
10000,1.4189385,128.10256410256412,0.052251928,0.05057368,-0.09537378727243497,-0.09537378727243497,0.0,1.0
15000,1.4213861,125.17948717948718,0.021152757,0.05165314,-0.09498669608281209,-0.09498669608281209,1.584281108318231,1.0
20000,1.4215077,128.10256410256412,0.0143006295,0.04954887,-0.09511442740376179,-0.09511442740376179,1.8491969719911232,1.0
25000,1.4052682,126.66666666666667,-0.014680254,0.30532295,-0.09466987141431907,-0.09466987141431907,1.0894657083046742,1.0
30000,1.4026976,131.6315789473684,-0.016872922,0.34825504,-0.09135646265196173,-0.09135646265196173,1.1298091411590576,1.0
35000,1.3941981,134.7027027027027,-0.029638197,0.47115418,-0.09311873365092922,-0.09311873365092922,1.0763706500465806,1.0
40000,1.3920813,132.05405405405406,-0.03099467,0.45423833,-0.09350296603264036,-0.09350296603264036,0.932831164952871,1.0
45000,1.3759767,145.44117647058823,-0.03783993,0.5359138,-0.09013521824689473,-0.09013521824689473,0.8956972439499462,1.0
50000,1.3706971,139.11111111111111,-0.04023774,0.49430725,-0.09023518073889944,-0.09023518073889944,0.7055612206459045,1.0
55000,1.3536819,129.31578947368422,-0.033183396,0.60305446,-0.09320233507375968,-0.09320233507375968,0.9293180727644971,1.0
60000,1.3459948,138.80555555555554,-0.03722966,0.5557116,-0.09041015431284904,-0.09041015431284904,0.8033265653583739,1.0
65000,1.3328484,126.71794871794872,-0.039425686,0.5352571,-0.09399282110807224,-0.09399282110807224,0.6388847743853544,1.0
70000,1.3252612,140.02777777777777,-0.038289115,0.5333168,-0.09188303434186512,-0.09188303434186512,0.6437310063176684,1.0
75000,1.311773,133.1891891891892,-0.040322904,0.5609954,-0.09213335107307176,-0.09213335107307176,0.6593625126658259,1.0
80000,1.3022555,131.23684210526315,-0.04470769,0.5063215,-0.09453112318327553,-0.09453112318327553,0.5426024371071866,1.0
85000,1.283475,140.88888888888889,-0.040486936,0.6190223,-0.09455403789050049,-0.09455403789050049,0.8232693812913365,1.0
90000,1.2669574,133.97222222222223,-0.039986715,0.5255883,-0.09227976171920697,-0.09227976171920697,0.6421871218416426,1.0
95000,1.2582201,129.21052631578948,-0.035049953,0.6793149,-0.09332352974697163,-0.09332352974697163,0.8177390898528852,1.0
100000,1.2470027,139.27777777777777,-0.03599908,0.5844087,-0.08888673254599173,-0.08888673254599173,0.7391446058948835,1.0
105000,1.232912,154.08823529411765,-0.0368071,0.5536027,-0.09021533105303259,-0.09021533105303259,0.6883411749320871,1.0
110000,1.213319,118.87179487179488,-0.037200127,0.57221335,-0.09529740783648613,-0.09529740783648613,0.5605728687384189,1.0
115000,1.2047094,120.66666666666667,-0.039702825,0.546874,-0.0951709065231539,-0.0951709065231539,0.48449039175396874,1.0
120000,1.1875658,121.45,-0.04447583,0.5232271,-0.0971933115273714,-0.0971933115273714,0.4325581893324852,1.0
125000,1.1792608,120.57142857142857,-0.046319503,0.57755435,-0.0958886148319358,-0.0958886148319358,0.5270560681819916,1.0
130000,1.1578599,117.54761904761905,-0.051003013,0.48804373,-0.09573573015985035,-0.09573573015985035,0.40795587925683885,1.0
135000,1.1498184,115.04651162790698,-0.050395112,0.4804138,-0.0981637338219687,-0.0981637338219687,0.3780734927155251,1.0
140000,1.1191463,116.66666666666667,-0.049500912,0.4699983,-0.09815821175773938,-0.09815821175773938,0.391087192155066,1.0
145000,1.1151036,123.875,-0.048915602,0.5127134,-0.09351313440129161,-0.09351313440129161,0.7697526350617409,1.0
150000,1.0895686,114.1590909090909,-0.052297756,0.44113067,-0.09923091530799866,-0.09923091530799866,0.3450934575362639,1.0
